Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Comparison|||who calls him such|||his own words reveal this psychological profile
Comparison|||his own words reveal this psychological profile|||We now know that the words were not always his own
Comparison|||The writer must not invent|||Should the green light Judges Alarcon and Hall have given to the fabrication of quotations become standard practice, it will notably reduce the value of journalism for historians -- and for citizens
Comparison|||Rumors to the effect that the Merksamer chain would file for Chapter 11 arose last week in the jewelry industry|||At that time, Sam Merksamer, president of the chain, angrily denied that his company was about to file
Comparison|||At that time, Sam Merksamer, president of the chain, angrily denied that his company was about to file|||Mr. Merksamer is leading the buy-out
Comparison|||Mr. Merksamer and Sanford Sigoloff, chief executive of L.J. Hooker, were unavailable for comment|||In a statement, Mr. Merksamer described the filing as a "legal technicality," but also said that "our inability to obtain trade credit, combined with a need to ensure that our stores were properly stocked for the Christmas season, necessitated our filing Chapter 11
Comparison|||South Gardens, as the Bartlett scheme is called, will occupy the last 3.5 acres of open space at the southwest tip of Manhattan|||It could cost taxpayers $15 million to install and BPC residents $1 million a year to maintain
Comparison|||I don't view this as a landscape|||I view this as a building
Comparison|||Ms. Bartlett told her audience that she absolutely did not believe in compromise or in giving in to the client "because I don't think you can do watered-down versions of things|||This was never a problem with South Gardens, because the client had long since given in to Ms. Bartlett's every whim
Comparison|||here and there are simple architectural forms, a whimsical jet of water, a conceit of topiary or tartan plaid, and chairs of every sort to drag around|||At the core of it all is a love for plants
Comparison|||It would demand the full-time skills of a battalion of topiary barbers, rosarians, orchardists and arborists|||Ms. Bartlett blithely suggested calling upon "semi-skilled garden club workers for maintenance
Comparison|||She ran it the length of the South Gardens riverfront, blotting out the city's great natural water features, the harbor and the river|||Within her garden, she has decreed a waterfall, a rill, ponds and other costly, trivial waterworks beside the Hudson
Comparison|||Bryant Park, as designed in 1933, failed as a public space, because it made people feel trapped|||By removing the hedges and some walls, the Bryant Park Restoration is opening it up
Comparison|||They then addressed the decidedly "questionable safety of . . . a complex garden of endless hiding places.|||At Harvard, Ms. Bartlett had declared: "There are going to be problems with safety . . . I'm not going to address questions of safety
Comparison|||There are going to be problems with safety|||I'm not going to address questions of safety
Comparison|||Despite the dire assessments of knowledgeable garden professionals, Ms. Bartlett's South Gardens design somehow continues on, seemingly impervious to reason, stalled only by bureaucratic lethargy and logistical complications|||BPCA President and CEO David Emil hopes to negotiate a seawall that could "be significantly more visually permeable
Comparison|||And by substituting yet another landscape architect, Nicholas Quennell, he insists he can achieve that and other accommodations to gardening reality while still preserving the "artistic vision" of a "truly great artist|||After four years of no progress in this direction, it is doubtful any viable collaboration with Ms. Bartlett will suddenly now be possible
Comparison|||but line-item-veto bait will be like earthworms at midnight in the coming Continuing Resolution|||The harder question is whether anyone yet understands that Mr. Bush's fight for his constitutional prerogatives is about politics as much as it is about law
Comparison|||What seem to be interpreted as great conflicts are relatively minor issues of tactics," he said|||He didn't elaborate
Comparison|||Rep. Neal's bill originally called on the Fed to reduce the inflation rate by one percentage point a year for five years and to maintain a zero inflation rate thereafter|||He altered the wording to win Mr. Greenspan's endorsement
Comparison|||We issue paper money; we destroy paper money|||The coin is their problem
Comparison|||The Bakersfield Supermarket went out of business last May|||The reason was not high interest rates or labor costs
Comparison|||The first time he was shot in the hand as he chased the robbers outside|||The second time he identified two robbers, who were arrested and charged
Comparison|||Yet these figures show only the most visible part of the problem|||Recent data from New York City provide more of the picture
Comparison|||Underclass neighborhoods offer relatively few employment opportunities, contributing to the poverty of local residents|||Small neighborhood businesses could provide more jobs, if crime were not so harmful to creating and maintaining those businesses
Comparison|||The number one proposal for reducing crime in the New York survey was to put more police on foot or scooter patrol, suggested by more than two-thirds of the respondents|||Only 22% supported private security patrols funded by the merchants themselves
Comparison|||Thomas P. Marrie, chief financial officer, wouldn't comment about the details of the negotiations|||He said the provision "wasn't forced upon us, but the regulators made it very clear what they thought was an appropriate number
Comparison|||In the late 1970s and early 1980s, lenders and developers poured money into office buildings, condominiums and massive tracts of raw desert land, confident that Arizona's population would grow at annual rates of 4% to 6% for years to come|||Now, annual population growth is running at about 2% a year, some desert tracts bought three years ago for $90,000 an acre are being sold at $25,000 an acre and Phoenix has a seven-year supply of unoccupied office space
Comparison|||First Interstate had a $214.4 million loss in 1988's third quarter, mainly from writedowns and reserves connected with its Texas operations|||For the six months ended June 30, it reported net income of $234.3 million, or $4.83 a share, including $46 million from tax credits and accounting changes
Comparison|||Arizona real-estate prices to fall another 20% before stabilizing|||that may be optimistic
Comparison|||Most of our competitors are announcing products based on our (older) products|||We continue to develop products faster than anyone else can
Comparison|||Indeed, the OTS said that before the law took effect Aug. 9, it banned another "key Vision Banc insider" from insured financial institutions|||That individual wasn't identified
Comparison|||Your Oct. 2 article on Daniel Yankelovich cited the quote "A good name is better than great riches" as being from Cervantes' "Don Quixote|||Actually, Cervantes borrowed that quote from a writer of some 25 centuries earlier
Comparison|||it had a loss of $11.3 million, or 46 cents a share, in the quarter ended Aug. 26|||A year earlier, the company had a deficit of $1.5 million, or six cents a share
Comparison|||For the year, Winnebago had a loss of $4.7 million, or 19 cents a share, following profit of $2.7 million, or 11 cents a share, a year earlier|||Sales rose 2% to $437.5 million from $430.3 million
Comparison|||Net sank to $3.1 million, or eight cents a share|||In the year-ago quarter, net totaled $14.7 million, or 38 cents a share
Comparison|||Burlington's operating profit grew to $9.2 million from $3.8 million a year earlier|||While "the tone" of domestic and international air-freight markets remains sound, seasonal factors are likely to hinder Burlington Air from matching third-quarter results in the fourth quarter
Comparison|||In novels of an earlier vintage, David would have represented excitement and danger; Malcolm, placid, middle-class security|||The irony in this novel is that neither man represents a "safe" middle-class haven
Comparison|||As a result, Morgan Stanley's Index of 40 Emerging Growth Stocks -- most of which are in the OTC market -- is up only 13% for the year, while the Dow Jones Industrial Average has leaped 24% and the S&P 500 has grown 25%|||The Nasdaq Composite has gained 23% this year, but that's largely due to the 100 largest nonfinancial stocks, which have soared 30%
Comparison|||Eliot Savings Bank lost 7/8 to 1 5/8 after reporting that it had a $4.8 million loss in the latest third quarter mostly because of loan-loss provisions|||In the 1988 quarter, the bank earned $1.1 million
Comparison|||New York City's revised financial plan is expected to include measures to balance the city's $27 billion budget|||At present, analysts project a budget gap on the order of $500 million to $600 million for the fiscal year ending June 30, 1990
Comparison|||And the controversy has led to uncertainty about the outcome of the election|||Until last week, Mr. Dinkins was considered a shoo-in
Comparison|||Until last week, "Everyone felt certain they knew the outcome of the election|||Now, there have been a number of questions raised
Comparison|||Last year, the top 12 players on each NFL team took home an average $536,000, a figure comparable to baseball and higher than in basketball|||First-round draft picks have done even better
Comparison|||One team pays so much and the other pays more|||We just don't have that kind of income stream
Comparison|||First, he unceremoniously sacked Tom Landry|||In Dallas, Mr. Landry has a standing just shy of sainthood
Comparison|||where he led the Hurricanes to five winning seasons and a national championship in 1987|||Whatever Mr. Johnson's talents, in the hearts and minds of many Dallas fans, he is no Tom Landry
Comparison|||When he bought the team, only six of the suites had been sold|||Today, 30 have
Comparison|||The current contract pays the NFL $1.4 billion|||they expect the league to demand a 50% increase
Comparison|||The last time that traders experienced a trough was during 1985-86, when Beijing imposed tough measures to curb imports and conserve foreign exchange|||The current trough is expected to be much deeper, because Beijing has cut off domestic funds from factories for the first time to slow inflation
Comparison|||For example, Nissho Iwai Corp., one of the biggest Japanese trading houses, now buys almost twice as many goods from China as it sells to that country|||Three years ago, the ratio was reversed
Comparison|||When they are buying back stock at 10 times earnings, they are suggesting that the rate of return on competing internal projects is below" returns on the stock|||IBM says it considers its shares a good investment
Comparison|||But there were fewer price swings than expected|||Buy order imbalances on several big stocks were posted by the New York Stock Exchange
Comparison|||For the nine months, the company expects to post a net loss of about $879,000, or 35 cents to 40 cents a share, on revenue of $6.5 million|||A year earlier, it had a loss of $199,203 or nine cents a share, on revenue of $7.6 million
Comparison|||Urban is the company's first telephone subsidiary in Wisconsin|||Since June, Rochester Telephone signed letters of intent to purchase three other Wisconsin firms
Comparison|||It's simply a way of making the cuts less onerous for defense than they are for domestic programs|||That isn't consistent with the kind of discipline that Gramm-Rudman is supposed to impose
Comparison|||The president's request didn't indicate how Mr. Cheney would shift the money|||A Pentagon official said the request was made to give the department "maximum flexibility" to deal with the cuts
Comparison|||Under the deficit-reduction law, 4.3% of the Pentagon's money and 5.3% of other agencies' money has been canceled|||Lawmakers are expected to try to restore the funds once a pending deficit-cutting measure has been signed into law
Comparison|||The Rafale project is the result of France's inability jointly to develop a plane with other countries, and French officials question whether the state can continue paying for expensive independent programs|||So far, Mr. Dassault has resisted pressure to change
Comparison|||City officials stuck by their estimate of $2 billion in damage to the quake-shocked city|||The other five Bay area counties have increased their total damage estimates to $2.8 billion
Comparison|||Charles Gardner, a former Unisys vice president, and James Neal, a former company consultant, have admitted participating in this and other bribery schemes|||that all of the company officials who participated in improper activities have left the company
Comparison|||GM, meanwhile, is hosting a delegation of members of the British Parliament who are touring the auto maker's headquarter operations in Detroit|||the visit isn't connected to the Jaguar situation
Comparison|||and Jaguar shares moved up 19 pence to 696 pence ($11)|||On the U.S. over-the-counter market, Jaguar's American depositary receipts rose 12.5 cents to $11.125
Comparison|||Cases in Los Angeles County involving dependent children are usually heard in the Criminal Courts Building|||We need to get the kids away from the criminals into a less traumatic environment
Comparison|||Wisconsin Toy has 71 retail stores, primarily in discount settings|||Everything's a Dollar operates 60 specialty-retail stores
Comparison|||There also has been speculation that Cathay will be among the major private-sector participants in the Hong Kong government's plans to build a new airport, with the carrier possibly investing in its own terminal|||Cathay officials decline to comment on the speculation
Comparison|||But this way, American will coordinate good extensions to Boston, New York, Chicago and Dallas|||We'll coordinate on this end to places like Bangkok, Singapore and Manila
Comparison|||Only a year ago, the chairman of Bond Corp appeared to be building a war chest to attack some big companies|||Now Bond Corp. has agreed to sell at least half its Australian brewing assets
Comparison|||After the announcement of the bankruptcy filing, Qintex Entertainment stock sank $2.625 in over-the-counter trading to close at $1.50 on heavy volume of more than 1.4 million shares|||The stock traded as high as $10 this past summer
Comparison|||Gold-oriented funds, for instance posted an average decline of 1.15%|||Flexible portfolio funds declined at about half the rate of stock funds
Comparison|||By comparison, global asset allocation funds have turned in an average total return of about 19%, while domestic flexible portfolios are up about 17%|||Fixed-income funds have returned 8.2%, while gold funds, which tend to be volatile, have risen just 4.55%, on average
Comparison|||Democrats hoped that Mr. Dinkins could become a highly visible national leader|||Republicans figured that in Mr. Giuliani, the nation's best-known prosecutor, they had a chance for a huge upset in the heart of Democratic territory
Comparison|||Dinkins is a decent but sloppy guy|||The alternative -- Giuliani -- is ghastly
Comparison|||We're picking up steam|||It just hasn't gotten down to the engine room yet
Comparison|||The Dinkins campaign paid Mr. Carson close to $10,000 to get out the vote on primary-election day|||Paper work on how it was spent is incomplete
Comparison|||And now he's busily trying to explain an arrangement in which he sold stock in Inner City Broadcasting Co., headed by his old friend and patron, Percy Sutton, to his son, David Dinkins Jr., for $58,000|||He had valued the shares at more than $1 million two years earlier
Comparison|||International Signal & Control, Lancaster, Pa., a defense-equipment manufacturer, was bought by Ferranti in 1987 for #420 million ($670.3 million|||Ferranti has said that it would be forced to write off #185 million against the phantom contracts
Comparison|||Imports rose sharply in the period, to $5.19 billion from $4.04 billion a year earlier, a change of 28%|||Exports during the period were $7.01 billion, 2.6% below $7.20 billion a year ago
Comparison|||Moody's Investors Service Inc. said it lowered the ratings of some $145 million of Pinnacle debt because of "accelerating deficiency in liquidity|||Henry Sargent Jr., Pinnacle executive vice president, said the action "won't really have any effect on us
Comparison|||No one yet has shown the ability to manufacture these panels" at commercial costs|||his company is just a few years from doing that
Comparison|||The only material support it is extending to the struggling U.S. industry is $30 million in awards from the Pentagon's Defense Advanced Research Projects Agency|||The DARPA funds are a pittance compared with what Japan and other prospective competitors are spending
Comparison|||Many critics question the industry's need for federal support|||the Pentagon justifies its help on national-security grounds
Comparison|||Over the past year there have been only one burglary, three thefts of or from autos, no purse-snatchings, and one attempted robbery in the mall|||A shopping center of similar size in an affluent Los Angeles suburb would, per year, be expected to have eight burglaries, 70 thefts of or from autos, and four robberies
Comparison|||The Watts mall has annual sales of more than $350 per leasable square foot|||the figure for a comparable suburban shopping center would be $200
Comparison|||The entire site is enclosed by a 6-to-8-foot-high ornamental iron fence with a small number of remote-controlled gates|||Shrubs and flowers give it a pleasing and non-fortress-like appearance
Comparison|||The ministry inquired about that deal because the large presence of Japanese banks in the deal was "being strongly criticized in the U.S. Congress|||the inquiry wasn't made in a way that the banks could have interpreted as either encouraging or discouraging participation
Comparison|||At a news conference this week, Bank of Japan Gov. Satoshi Sumita cautioned banks to take a "prudent" stance regarding highly leveraged deals|||Despite Mr. Sumita's statements, it is the Finance Ministry, not the central bank, that makes policy decisions
Comparison|||Telelawyer is apparently the only telephone service that offers the telephone equivalent of an office visit|||Local bar associations in some states have numbers that provide free tape-recorded messages explaining certain areas of the law
Comparison|||In an effort to determine whether a caller has reason to sue, Cane lawyers review documents and perform research, if necessary, with the help of three law clerks and several support staffers|||There is no charge for research -- only for time on the phone
Comparison|||You don't have a right to practice|||You only have a privilege to practice
Comparison|||That strip of concrete is backed up by a few one-story, air-conditioned shacks where a handful of American nationals maintain radio contact with the outside world|||In the past two years, the desert behind them has become a land of mass executions and utter anarchy
Comparison|||Posix is one of three or four versions of UNIX, but it is increasingly required by the federal government as it tries to standardize its computer systems|||Most other supercomputer manufacturers have yet to adopt the Posix standard adding that they prefer to maintain proprietary systems that lock in customers
Comparison|||The guys are going for their skis, their stereos, their personal computers|||The women wanted photo albums, a certain brooch, kind of sentimental things
Comparison|||Citizens, based in Atlanta, said it has about $4.6 billion in factored sales annually|||the Security Pacific unit has about $1.8 billion annually
Comparison|||David Baltimore already knows what it's like to go through life with "Nobel laureate" appended to one's name|||He is currently experiencing what it's like to have the phrase, "under investigation for scientific fraud," also attached to his name
Comparison|||The Nobel committee made the first addition|||John Dingell's congressional committee created the second
Comparison|||Maybe Americans are just so annoyed with government that they aren't interested in admitting that bureaucrats come in handy once in a while|||If he sponsored a contest on how a bureaucrat mishandled something, Mr. Lesko admits, "I'd get 5,000 entries
Comparison|||Though tiny, that's a reduction in its share|||Mr. Nazer, the Saudi oil minister, reiterated here that the kingdom would insist on maintaining its percentage share of OPEC production under any quota revisions
Comparison|||Mr. Asman is also annoyed that Mr. Castro has resisted collaboration with U.S. officials, even though by his own account that collaboration has been devised essentially as a mechanism for acts directly hostile to the Cuban regime, such as facilitating defections|||I think it's a little disingenuous to be surprised that Fidel doesn't invite the U.S. State Department to violate the jurisdiction of the Cuban government over its own territory
Comparison|||From my own point of view we deny ourselves access to things we hold dear|||There is no rational justification for such behavior
Comparison|||he is "reasonably confident" that earnings for the full year will exceed the $3.1 million, or 17 cents a share, in 1988|||That would require fourth-quarter net of more than about 22 cents to 24 cents a share
Comparison|||That would require fourth-quarter net of more than about 22 cents to 24 cents a share|||In the year-earlier fourth quarter, the company had profit of $2.7 million, or 15 cents a share
Comparison|||Woodstream is "marginally profitable" but hasn't performed as well as expected|||Woodstream's Victor-brand mousetraps and other pest-control products are "doing very well
Comparison|||Proponents of the nationwide standards say the cost for car buyers would be about $500 per car|||Other analysts say that estimate is low
Comparison|||Lawyers will benefit|||Private companies, and ultimately their customers, will end up footing the huge bill
Comparison|||By 1986, the number of federal regulators was down to about 103,000|||Then it turned up, and by one estimate the number will be up to about 109,000 regulators by next year
Comparison|||it has lost a number of big accounts this year, including the $20 million to $25 million Cadbury-Schweppes Canada Dry and Sunkist accounts, the $18 million Procter & Gamble Co. Sure deodorant account and the $10 million Polo/Ralph Lauren business|||Its victories include more than $30 million in Sheraton Corp. business and an assignment from Dun & Bradstreet worth $5 million to $10 million
Comparison|||Also providing support to Treasurys was hope that the stock market might see declines because of the expiration of some stock-index futures and options on indexes and individual stocks|||Those hopes were dashed when the stock market put in a relatively quiet performance
Comparison|||that Saatchi has received several inquiries from companies interested in acquiring its Campbell-Mithun and Rowland units|||We have no intention of selling either business
Comparison|||Also participating in the finals was Los Angeles agency Hakuhodo Advertising America|||American Suzuki's previous agency, Keye/Donna/Pearlstein, didn't participate
Comparison|||He chastises Jo Franklin-Trout for her inept presentation of advocacy journalism, judging her project as "intellectually slipshod|||Was not the title very clear
Comparison|||One example he gives: "She didn't ask" (why the Palestinian children are soldiers throwing stones|||Really now, did she have to ask
Comparison|||Of course the Palestinians complain about their treatment|||of course the Israelis feel put upon
Comparison|||It's like doing a documentary on apartheid and insisting that equal time be given to how terrific white South Africans are|||This film did emphasize how long the Israeli/Palestinian stalemate has existed by tracing the conflict to the days of World War I when the British tried to guarantee both a Jewish state and a Palestinian state without specifying how it was to be done
Comparison|||In other European markets, share prices closed sharply higher in Frankfurt and Zurich and posted moderate rises in Stockholm, Amsterdam and Milan|||Paris closed lower
Comparison|||Each of the 1,075,000 warrants entitle the holders to purchase one share of Apogee common stock for $2.25|||Apogee was quoted in the over-the-counter market yesterday at $2 bid
Comparison|||We have some level of financial interest" in the collection|||We don't disclose specifics
Comparison|||At a news conference last May announcing plans for the auction, Sotheby's estimated its value in excess of $100 million|||More recently, Sotheby's has predicted the collection will fetch $140 million
Comparison|||The chemical segment had a $6 million gain on the sale of ammonia and urea businesses, which was offset by a $6 million charge for future environmental expenditures|||Profit in Olin's defense and ammunition segment rose to $8 million from $7 million
Comparison|||Profit in Olin's defense and ammunition segment rose to $8 million from $7 million|||The metals segment, hurt by a strike, had break-even results, against $3 million a year ago
Comparison|||Under the law, Gramm-Rudman's across-the-board-cuts in federal programs are supposed to be permanent|||Social Security and spending for poor people are exempted
Comparison|||It will reduce spending in a very effective fashion|||This attitude is being waved away by sophisticates around Washington as little more than tough talk
Comparison|||This attitude is being waved away by sophisticates around Washington as little more than tough talk|||It looks to us like a golden opportunity for George Bush to chop off at the knees all this talk about a timid, unserious presidency
Comparison|||that in the 20 years before Gramm-Rudman was enacted in 1985, federal spending grew by about 11% a year|||since the law, it's grown at under 5% annually
Comparison|||George Bush's continued support of the tax dam sustains this strategy of pressuring Congress to make choices among competing priorities|||If Washington's elites ever succeed in bursting the tax dam, Americans will be engulfed in a red sea of new spending programs, such as federalized child care
Comparison|||We have as much nostalgia as anyone for those leafy, breezy days in Washington when honorable men and women dickered over budgets and even log-rolled a bit to see that the bridges got build, roads paved, soldiers paid or that the desperately poor were cared for|||Those days are gone
Comparison|||Merieux, a vaccine manufacturer based in Lyon, France, is 51%-held by French state-owned Rhone-Poulenc S.A|||Ciba-Geigy is a major pharmaceutical concern based in Basel, Switzerland
Comparison|||In late New York trading yesterday, the dollar was quoted at 1.8485 marks, down from 1.8667 marks late Tuesday, and at 141.45 yen, down from 142.75 yen late Tuesday|||Sterling was quoted at $1.5920, up from $1.5753 late Tuesday
Comparison|||The parent company is diversifying into other industries around the world|||Everytime we talked about Blinder International, {people} thought it was the brokerage house
Comparison|||Everytime we talked about Blinder International, {people} thought it was the brokerage house|||the change wasn't related to the brokerage's recent troubles
Comparison|||Per-share figures this year reflect $6.8 million in preferred-share dividends|||the 1988 quarter didn't have such a payout
Comparison|||The Canadian government also has recently opened new trade offices in San Diego; San Juan, Puerto Rico; Miami; Princeton, N.J., and Denver, bringing the total number of such Canadian offices in the U.S. to 27|||The U.S. has six trade promotion offices in Canada
Comparison|||According to one analyst, workers at the Cananea copper mine in Mexico are set to return to work|||it will take about two to three months before the mine begins to produce copper in significant quantities
Comparison|||The focus for some time has been on the copper supply, and good demand has been taken for granted|||Now that the supply situation seems to be improving, it would be best for traders to switch their concentration to the demand side
Comparison|||The announcement was made because of reports Tuesday that Cuba would delay shipments to Japan scheduled for later this year, into early next year|||the quantity mentioned in the Japanese announcement is so small that it's meaningless
Comparison|||One analyst said he thought the market continued to be supported to some degree by a delay in the Cuban sugar harvest caused by adverse weather|||The dealer said India might be the real factor that is keeping futures prices firm
Comparison|||That acquisition could further dilute earnings per share this year, the company spokeswoman said|||Dow hasn't said exactly what impact the Marion acquisition will have on 1989 earnings
Comparison|||To do so the U.S. courts must review the judicial process in the foreign country independently of the State Department's assessment|||that in this case he concurred with the State Department's decision that Mr. Ahmad should be extradited
Comparison|||Commentators who agreed on little else unanimously proclaimed a `shift in direction' on the court|||I take these pronouncements with a grain of salt
Comparison|||THE STOCK of Applied Power Inc., which split 2-for-1 in May, has risen since August 1988|||In yesterday's edition, it was incorrectly stated that the company's share price has softened since August 1988
Comparison|||NCNB Corp. raised $1 billion in new capital during the third quarter|||In yesterday's edition, the amount of new capital was misstated
Comparison|||GTE Corp. and MCI Communications Corp. reported strong earnings gains to record levels for the third quarter|||Southwestern Bell Corp. and Cincinnati Bell posted slight declines
Comparison|||the quarter included a 10% increase in local-exchange usage for long-distance calling and a 5% increase in the number of access lines in service|||Earlier rate reductions in Texas and California reduced the quarter's revenue and operating profit $55 million
Comparison|||Earlier rate reductions in Texas and California reduced the quarter's revenue and operating profit $55 million|||a year earlier, operating profit in telephone operations was reduced by a similar amount as a result of a provision for a reorganization
Comparison|||net declined 1.8%|||that the year-ago period was particularly strong, with an increase of nearly 70%
Comparison|||At one sales strategy meeting, an executive suggested ordering salespeople to become experts on the annual report|||Mr. Miller vetoed that
Comparison|||We tell them all the major companies are having financial difficulties|||Numerous computer companies are having sales slumps and earnings declines, but very few have had losses comparable to Wang's or are carrying such a large debt load
Comparison|||that his office had all but sold a $1.5 million image system to pharmaceutical maker Eli Lilly & Co|||When they were making the decision, all hell broke loose with the finances
Comparison|||The bad news is, you'll be rejected more|||The good news is, it's not your fault
Comparison|||Beyond that, it has to compete with West Germany for a claim to the German identity|||Up to now, the main weapon of the "worker and peasant state" has been the ideology of socialism
Comparison|||In 1956 Arab producers cut off supplies to Europe|||Texas simply pumped harder
Comparison|||Japan and Europe wouldn't offend the Arabs or trade off their precious supplies|||The U.S. did manage to supply the Dutch with oil by relabeling supplies
Comparison|||As aftershocks shook the San Francisco Bay area, rescuers searched through rubble for survivors of Tuesday's temblor|||In Oakland, hopes faded for finding any more survivors within the concrete and steel from the collapse of an interstate highway
Comparison|||The 77-year-old official was removed during a meeting of the 163-member Communist Party Central Committee in East Berlin|||Honecker said he was resigning for health reasons
Comparison|||The Arizona regulatory ruling calls for $42 million in added revenue yearly, compared with a $57 million boost proposed by the commission hearing officer|||The company had sought increases totaling $80.3 million, or 22%
Comparison|||This is one of the worst trade releases we've had since the dollar troughed out in 1987," said Geoffrey Dennis, chief international economist at James Capel Inc|||Like most analysts, Mr. Dennis was hesitant to read too much into one month's numbers
Comparison|||August's decline in exports reflected decreases in sales of industrial supplies, capital goods and food abroad and increases in sales of motor vehicles, parts and engines|||The jump in imports stemmed from across-the-board increases in purchases of foreign goods
Comparison|||the tendered units will raise its ownership of the partnership to more than 99% from 87%|||About 900,000 units will continue to be publicly traded on the New York Stock Exchange
Comparison|||while Israel Sheinberg resigned as a director|||Mr. Sheinberg remains as executive vice president
Comparison|||Last week, Mesa rejected a general proposal from StatesWest that the two carriers combine|||In response to the specific offer management will ask directors to employ a financial consultant to advise them
Comparison|||Caltrans plans to add a second deck for buses and car pools above the median of a 2.5-mile stretch of the Harbor Freeway just south of Los Angeles, near the Memorial Coliseum|||Los Angeles County Supervisor Kenneth Hahn yesterday vowed to fight the introduction of double-decking in the area
Comparison|||That temblor measured 6.1 on the Richter scale|||Tuesday's was
Comparison|||While the pillars did have long metal bars running vertically through them for reinforcement, they apparently lacked an adequate number of metal "ties" that run horizontally through the column|||Caltrans today uses a variation of the design Mr. Parker describes, with spiraling steel rods inside
Comparison|||The work was done properly|||Basically, we had a severe earthquake of significant duration and it was just something the structure couldn't withstand
Comparison|||Mr. Bronner seems to believe that the hearings could have gone either way|||I doubt that
Comparison|||He has too readily swallowed the case for the activist law school culture|||Probing more deeply into the doctrine of "judicial restraint," he would have found a long history going back to the great decisions of Justice Holmes
Comparison|||His strength lies in his majoritarian doctrine, which keeps the Court clear of transient group pressures and leaves most decisions in a democracy to elected legislatures and executives|||Unfortunately, Mr. Bork failed to distinguish between such pressures and the emergence of great issues critical to a society that must be settled judicially if it is to cohere
Comparison|||though a Supreme Court composed of men and women with realism, guts and a sense of limits should be able to manage it|||What is certain is that if Americans allow another happening like the degrading Bork confirmation circus, it will be at their peril
Comparison|||One unit, called the Escort, uses a new digital signal-processing technology to detect radar signals much sooner than was previously possible, the company said|||The other, called the Solo, is battery operated and is the first high-performance radar detector that doesn't need a power cord, the company said
Comparison|||For the nine months, Ashton-Tate had a loss of $27.6 million, or $1.05 a share|||In the year-ago period, the company had profit of $34.3 million, or $1.32 a share
Comparison|||And while the company hasn't made a definite statement, it now looks like that's not going to be anytime soon," Mr. Maxwell said|||The company said in a statement that it expects to ship new products "during the next two quarters
Comparison|||unless the company can start shipments of the new product sometime this quarter, the fourth-quarter loss is likely to be "comparable to the third quarter's|||If the company can start to ship during this quarter, it could stem some, if not all of the red ink
Comparison|||the charges will result in a full-year after-tax loss|||Last year, the company had net income of $117.3 million, or $1.30 a share
Comparison|||He bought at share prices ranging from $9.375 to $9.625|||The fund closed yesterday in New York Stock Exchange composite trading at $9.625, up 12.5 cents
Comparison|||Ethyl Corp. reported that third-quarter net income fell 12% from a year-earlier quarter helped by a gain from discontinued operations|||Profit from continuing operations rose 19%
Comparison|||net in the latest quarter was $54.8 million, or 45 cents a share|||In the year-earlier quarter, net was $62.2 million, or 51 cents a share
Comparison|||Net in the latest period included $11.9 million from discontinued operations and a charge of $6.2 million from a plant closing|||In the year-ago period, net included $32.7 million from discontinued operations
Comparison|||Soon the studio is producing a $40 million picture called "Tet, the Motion Picture|||The picture is a cover for sending $800 million of arms to Los Otros
Comparison|||Then the Gutfreunds determined to put up a 22-foot Christmas tree|||For this, a crane needed to be mounted on the Postels' terrace
Comparison|||For this, a crane needed to be mounted on the Postels' terrace|||The Postels did not give permission
Comparison|||Get off your . . .,' he would bellow," say the authors|||Rising in the firm, he became powerful and bland
Comparison|||I felt betrayed," he later said|||Worse, Salomon's timing had been off
Comparison|||all 30 offices in Bay area were working, but in various states of disarray|||Business was slow because many companies were closed yesterday
Comparison|||its Richmond warehouse north of San Francisco was closed because of debris and fallen shelves|||It expects to be fully operational by next week
Comparison|||BORLAND INTERNATIONAL, Scotts Valley, personal computer and software designer, annual sales of $72 million, had heavy damage to its headquarters and was conducting business from its parking lot|||The company doesn't expect any shipping delays
Comparison|||all 16 corporate office and stores in the area were open with the exception of a retail center in San Francisco's business district|||That facility should reopen today
Comparison|||but structural damage closed two of its seven buildings in San Ramone industrial park|||Company expects to be fully operational by next week
Comparison|||there will be a "minimal suspension" of manufacturing for an undefined period|||The computer system was operating, so orders could be taken
Comparison|||One building in Palo Alto may be damaged beyond repair|||Others had lesser damage and there were no injuries among workers
Comparison|||three of its 17 Bay-area branches were closed yesterday|||The company expects all branches to reopen today
Comparison|||major problems transporting products to those stores that remained open|||no numbers on how many stores closed
Comparison|||SUN MICROSYSTEMS INC., Mountain View, maker of desktop computers, annual sales $1.77 billion, OTC, no injured employees and very little damage to buildings|||Closed yesterday due to power difficulties
Comparison|||TRADING VOLUME in Standard & Poor's 500 stock-index futures contracts on the Chicago Mercantile Exchange Monday totaled 73,803 contracts|||Yesterday's edition incorrectly reported Monday's trading volume as a record for the S&P 500 contract
Comparison|||and an 8.7% decline in advertising linage at the New York Times, the company's flagship newspaper|||Advertising volume at the company's 35 regional newspapers decreased 1.1%
Comparison|||Mr. Laband, meanwhile, gets an A for his rote recital of economic-efficiency arguments|||Give him an F for his failure to understand the ethics of economic equity
Comparison|||and always with the help of neighbors|||The shock of seeing homes destroyed and city services disrupted may cause some to confuse priorities such as the true economic value of a freezer full of meat
Comparison|||Any fool can publish a money-losing magazine|||I want to publish one that succeeds
